Idades,ALLG-72,AMERICAN EXPERIENCE,AT2000 (Suavizada 10%)_FEM,AT2000 (Suavizada 10%)_MAS,AT-2000 FEMALE,AT-2000 MALE,AT-2000 MEDIA,AT-49 FEMALE,AT-49 MALE,AT-50,AT-55,AT-71,AT-83 FEMALE (Basic),AT-83 FEMALE (IAM),AT-83 MALE (Basic),AT-83 MALE (IAM), BR-EMSmt-v.2010-f, BR-EMSmt-v.2010-m, BR-EMSsb-v.2010-f, BR-EMSsb-v.2010-m,CSG-60,CSO-41,CSO-58,CSO58 - FEM - AGE LAST,CSO58 - FEM - AGE NEAREST,CSO58 - MAS - AGE LAST,CSO58 - MAS - AGE NEAREST,CSO58 FEMALE,CSO58 MALE,CSO80,EB7-75,GAM-71 FEMALE,GAM-71 MALE,GAM-83 - FEMALE,GAM83_BÁSICA - FEMALE,GAM83_BÁSICA - MASC,GAM-83 - MASC,GAM-94 FEMALE,GAM-94MALE,GKF-95,GKM-70,GKM-80,GKM-95,GR-95 MALE,GR-95FEMALE,GRUPAL AMERICANA,HUNTER SEMITROPICAL,Prudential-50,RENTIERS FRANCAIS,Rentiers Français,RP-2000 FEMALE,RP-2000 MEDIA,RP-2000MALE,SGB-51,SGB-71,SGB-75,UP-94 FEMALE,UP-94 MALE,USTP-61,X-17,"2012 IAM Basic Table – Male, ANB","2012 IAM Basic Table – Female, ANB",Tabla de Mortalidad RV-2004 – Hombres,Tabla de Mortalidad RV-2004 – Mujeres,CPM2014 Private – Male,CPM2014 Private – Female,2007 Standard Mortality Table for Post Annuitization - Male,2007 Standard Mortality Table for Post Annuitization - Female,CL5 (2010-2013),CL6 (2010-2013),IBGE 2006  Ambos os Sexos,IBGE 2007  Ambos os Sexos,IBGE 2008  Ambos os Sexos,IBGE 2009  Ambos os Sexos,IBGE 2012  Ambos os Sexos,IBGE 2012  Mulheres,IBGE 2012  Homens,IBGE 2013  Ambos os Sexos,IBGE 2013  Mulheres,IBGE 2013  Homens,IBGE 2014  Ambos os Sexos,IBGE 2014  Mulheres,IBGE 2014  Homens,IBGE 2015  Ambos os Sexos,IBGE 2015 Mulheres,IBGE 2015  Homens,IBGE 2016  Ambos os Sexos,IBGE 2016 Mulheres,IBGE 2016  Homens,IBGE 2017  Ambos os Sexos,IBGE 2017 Mulheres,IBGE 2017  Homens,IBGE 2018  Ambos os Sexos,IBGE 2018 Mulheres,IBGE 2018  Homens,IBGE 2019  Ambos os Sexos,IBGE 2019 Mulheres,IBGE 2019  Homens,IBGE 2020  Ambos os Sexos,IBGE 2020 Mulheres,IBGE 2020  Homens,BR-EMSmt-v.2015-f,BR-EMSmt-v.2015-m,BR-EMSsb-v.2015-f,BR-EMSsb-v.2015-m,BR-EMSmt-v.2021-f,BR-EMSmt-v.2021-m,BR-EMSsb-v.2021-f,BR-EMSsb-v.2021-m,BENTZIEN,Experiência CAP,GRUPAL AMERICANA,IAPC,IBA (FERROVIARIOS),MULLER,RP-2000 DISABLED FEMALE,RP-2000 DISABLED MALE,RRB-44,TASA/1927,WINKLEVOSS,ZIMMERMANN,ZIMMERMANN (FERR. ALEMAES),MI-2006 Masculino,MI-2006 Feminino,Pri-2012 Male Disabled Retiree,Pri-2012 Female Disabled Retiree,MI-85 Masculino,MI-85 Feminino,ALVARO VINDAS,GRUPO AMERICANA,HUNTER'S,IAPB-57 Forte,IAPB-57 FRACA,IBA (FERROVIARIOS),LIGHT FORTE,LIGHT MEDIA,LIGHT FRACA,MULLER,PRUDENTIAL (FERR. APOSENT.),RGPS-99/02 M.M,RRB-1944 Mod - Fem,RRB-1944 Mod - Masc,TASA-1927,WYATT 1985 ,ZIMMERMANN EMPR. ESCRIT,Atuários Ingleses,Hubbard Laffitte,J.P. Jansen,Kinkelin,Moser,Samuel Dumas
0, ,0.154700,0.001615,0.002080,0.001794,0.002311,0.002053,0.003210,0.004040,, , ,,0.001835,,0.002690,  0.0012800 ,  0.0027400 ,  0.0003800 ,  0.0020000 ,0.0083200,0.02258,0.0070800,0.0039421,0.0062000,0.0044295,0.0070800,0.005480,0.006330,0.004180,,0.002219,0.003255,,,,,,,,, ,,,,,,,0.036020,0.036020,,,,,,,,,,,0.001783,0.001801,,,,,0.000580,0.000470,0.000566,0.000453,0.024891,0.024036,0.023295,0.022467,0.015694,0.014283,0.017032,0.015023,0.013697,0.016275,0.014399,0.013160,0.015575,0.013824,0.012652,0.014933,0.013297,0.012183,0.014349,0.012808,0.011752,0.013803,0.012358,0.011351,0.013305,0.011938,0.010978,0.012846,0.011556,0.010635,0.012426,0.000415,0.000391,0.000344,0.000337,0.000355,0.000371,0.000293,0.000353,0.000000,,0.462000,0.000000,,,,,,,0.000000,,,0.003772,0.006315,,,0.014786,0.009112,0.000000, ,0.007100,,,,0.000000,,,,,0.000000,,,,0.000000,,,,,,,
1, ,0.063490,0.000680,0.000815,0.000755,0.000906,0.000831,0.001360,0.001580,, , ,,0.000778,,0.001053,  0.0004600 ,  0.0009500 ,  0.0003800 ,  0.0006900 ,0.0020700,0.00577,0.0017600,0.0015401,0.0016700,0.0016400,0.0017600,0.000940,0.001000,0.001070,,0.000940,0.001274,,,,,0.000531,0.000592,,, ,,,,,,,0.027490,0.027490,0.000571,0.000604,0.000637,,,,0.000571,0.000637,,,0.000446,0.000450,,,,,0.000260,0.000220,0.000386,0.000289,0.002292,0.002182,0.002291,0.002152,0.000983,0.000880,0.001076,0.015023,0.013697,0.016275,0.000930,0.000828,0.001002,0.000902,0.000821,0.000972,0.000878,0.000792,0.000965,0.000848,0.000769,0.000920,0.000841,0.000762,0.000912,0.000796,0.000716,0.000883,0.000789,0.000710,0.000861,0.000184,0.000203,0.000153,0.000157,0.000226,0.000242,0.000192,0.000226,0.000000,,0.449000,0.000000,,,,,,,0.000000,,,0.003793,0.006329,,,0.014803,0.009120,0.000000, ,0.006870,,,,0.000000,,,,,0.000000,,,,0.000000,,,,,,,
2, ,0.035500,0.000353,0.000454,0.000392,0.000504,0.000448,0.000703,0.000887,, , ,,0.000402,,0.000591,  0.0002500 ,  0.0004800 ,  0.0002000 ,  0.0003500 ,0.0017900,0.00414,0.0015200,0.0013801,0.0014100,0.0014901,0.0015200,0.000670,0.000750,0.000990,,0.000486,0.000715,,,,,0.000346,0.000400,,, ,,,,,,,0.020850,0.020850,0.000372,0.000401,0.000430,,,,0.000372,0.000430,,,0.000306,0.000287,,,,,0.000200,0.000150,0.000268,0.000184,0.001255,0.001198,0.001188,0.001132,0.000629,0.000558,0.000702,0.000937,0.000834,0.001047,0.000599,0.000528,0.000662,0.000578,0.000517,0.000641,0.000569,0.000496,0.000631,0.000548,0.000487,0.000611,0.000538,0.000476,0.000601,0.000518,0.000457,0.000580,0.000507,0.000446,0.000570,0.000105,0.000135,0.000116,0.000094,0.000195,0.000213,0.000155,0.000196,0.000000,,0.436000,0.000000,,,,,,,0.000000,,,0.003814,0.006344,,,0.014822,0.009129,0.000000, ,0.006650,,,,0.000000,,,,,0.000000,,,,0.000000,,,,,,,
3, ,0.023910,0.000261,0.000367,0.000290,0.000408,0.000349,0.000521,0.000715,, , ,,0.000298,,0.000476,  0.0001600 ,  0.0003000 ,  0.0001300 ,  0.0002200 ,0.0017200,0.00338,0.0014600,0.0013200,0.0013500,0.0014300,0.0014600,0.000600,0.000680,0.000980,,0.000360,0.000576,,,,,0.000258,0.000332,,, ,,,,,,,0.015750,0.015750,0.000278,0.000318,0.000357,,,,0.000278,0.000357,,,0.000254,0.000199,,,,,0.000140,0.000100,0.000196,0.000124,0.000922,0.000880,0.000778,0.000750,0.000477,0.000420,0.000537,0.000610,0.000538,0.000682,0.000456,0.000398,0.000511,0.000439,0.000387,0.000495,0.000435,0.000371,0.000484,0.000418,0.000366,0.000474,0.000407,0.000355,0.000463,0.000397,0.000345,0.000446,0.000386,0.000334,0.000441,0.000073,0.000107,0.000079,0.000069,0.000180,0.000199,0.000134,0.000181,0.000000,,0.423000,0.000000,,,,,,,0.000000,,,0.003835,0.006359,,,0.014842,0.009138,0.000000, ,0.006440,,,,0.000000,,,,,0.000000,,,,0.000000,,,,,,,
4, ,0.017700,0.000209,0.000321,0.000232,0.000357,0.000295,0.000419,0.000627,, , ,,0.000240,,0.000417,  0.0001200 ,  0.0002200 ,  0.0001000 ,  0.0001600 ,0.0016500,0.00299,0.0014000,0.0012650,0.0012900,0.0013749,0.0014000,0.000530,0.000610,0.000950,,0.000290,0.000505,,,,,0.000194,0.000259,,, ,,,,,,,0.011870,0.011870,0.000208,0.000243,0.000278,,,,0.000208,0.000278,,,0.000193,0.000152,,,,,0.000110,0.000070,0.000158,0.000095,0.000699,0.000659,0.000568,0.000552,0.000390,0.000341,0.000442,0.000467,0.000410,0.000521,0.000374,0.000325,0.000424,0.000360,0.000314,0.000410,0.000358,0.000300,0.000399,0.000344,0.000297,0.000394,0.000333,0.000286,0.000383,0.000328,0.000282,0.000369,0.000317,0.000270,0.000367,0.000060,0.000095,0.000058,0.000058,0.000171,0.000192,0.000121,0.000173,0.000000,,0.410000,0.000000,,,,,,,0.000000,,,0.003857,0.006374,,,0.014863,0.009148,0.000000, ,0.006240,,,,0.000000,,,,,0.000000,,,,0.000000,,,,,,,
5, ,0.013600,0.000171,0.000291,0.000189,0.000324,0.000257,0.000339,0.000566,,0.000370,0.000460,0.000190,0.000194,0.000380,0.000377,  0.0001000 ,  0.0001800 ,  0.0000800 ,  0.0001300 ,0.0015900,0.00276,0.0013500,0.0012150,0.0012400,0.0013250,0.0013500,0.000470,0.000550,0.000900,,0.000234,0.000456,0.000171,0.000190,0.000380,0.000342,0.000175,0.000237,,, ,,,,,,,0.008970,0.008970,0.000188,0.000222,0.000255,,,,0.000188,0.000255,,,0.000186,0.000139,,,,,0.000090,0.000060,0.000141,0.000084,0.000479,0.000469,0.000442,0.000432,0.000334,0.000290,0.000380,0.000385,0.000336,0.000429,0.000321,0.000277,0.000366,0.000308,0.000266,0.000354,0.000308,0.000254,0.000344,0.000296,0.000253,0.000341,0.000285,0.000243,0.000331,0.000283,0.000241,0.000318,0.000272,0.000229,0.000318,0.000055,0.000091,0.000049,0.000054,0.000165,0.000188,0.000113,0.000167,0.000000,,0.397000,0.000000,,,,,,,0.000000,,,0.003878,0.006391,,,0.014886,0.009159,0.000000, ,0.006050,,,,0.000000,,,,,0.000000,,,,0.000000,,,,,,,
6, ,0.011370,0.000141,0.000270,0.000156,0.000301,0.000229,0.000278,0.000526,,0.000380,0.000420,0.000156,0.000160,0.000353,0.000350,  0.0000900 ,  0.0001600 ,  0.0000700 ,  0.0001200 ,0.0015300,0.00261,0.0013000,0.0011700,0.0011900,0.0012801,0.0013000,0.000410,0.000490,0.000860,,0.000193,0.000424,0.000140,0.000156,0.000353,0.000318,0.000163,0.000227,,, ,,,,,,,0.006870,0.006870,0.000176,0.000210,0.000244,,,,0.000176,0.000244,,,0.000184,0.000130,,,,,0.000090,0.000060,0.000132,0.000078,0.000385,0.000372,0.000360,0.000354,0.000295,0.000255,0.000338,0.000332,0.000288,0.000368,0.000285,0.000244,0.000326,0.000274,0.000234,0.000316,0.000274,0.000223,0.000305,0.000263,0.000223,0.000305,0.000253,0.000213,0.000295,0.000252,0.000212,0.000284,0.000242,0.000202,0.000284,0.000054,0.000091,0.000047,0.000054,0.000162,0.000186,0.000109,0.000164,0.000000,,0.384000,0.000000,,,,,,,0.000000,,,0.003899,0.006408,,,0.014910,0.009171,0.000000, ,0.005870,,,,0.000000,,,,,0.000000,,,,0.000000,,,,,,,
7, ,0.009750,0.000118,0.000257,0.000131,0.000286,0.000209,0.000234,0.000500,,0.000390,0.000400,0.000131,0.000134,0.000336,0.000333,  0.0000900 ,  0.0001500 ,  0.0000700 ,  0.0001100 ,0.0014800,0.00247,0.0012600,0.0011350,0.0011500,0.0012450,0.0012600,0.000360,0.000440,0.000800,,0.000162,0.000403,0.000118,0.000131,0.000336,0.000302,0.000153,0.000217,,, ,,,,,,,0.005400,0.005400,0.000165,0.000200,0.000234,,,,0.000165,0.000234,,,0.000177,0.000122,,,,,0.000070,0.000050,0.000129,0.000074,0.000314,0.000301,0.000306,0.000302,0.000270,0.000231,0.000308,0.000295,0.000255,0.000327,0.000260,0.000222,0.000299,0.000250,0.000212,0.000289,0.000251,0.000202,0.000280,0.000241,0.000202,0.000280,0.000231,0.000192,0.000270,0.000231,0.000193,0.000260,0.000222,0.000183,0.000261,0.000056,0.000094,0.000048,0.000056,0.000161,0.000187,0.000109,0.000163,0.000000,,0.371000,0.000000,,,,,,,0.000000,,,0.003921,0.006425,,,0.014936,0.009183,0.000000, ,0.005700,,,,0.000000,,,,,0.000000,,,,0.000000,,,,,,,
8, ,0.008630,0.000118,0.000294,0.000131,0.000328,0.000230,0.000207,0.000487,,0.000400,0.000390,0.000116,0.000134,0.000327,0.000352,  0.0000900 ,  0.0001500 ,  0.0000800 ,  0.0001100 ,0.0014500,0.00231,0.0012300,0.0011151,0.0011200,0.0012199,0.0012300,0.000320,0.000400,0.000760,,0.000143,0.000392,0.000104,0.000116,0.000327,0.000294,0.000137,0.000201,,, ,,,,,,,0.004430,0.004430,0.000147,0.000182,0.000216,,,,0.000147,0.000216,,,0.000159,0.000105,,,,,0.000060,0.000040,0.000131,0.000072,0.000281,0.000269,0.000271,0.000268,0.000254,0.000216,0.000290,0.000270,0.000232,0.000299,0.000245,0.000207,0.000282,0.000236,0.000197,0.000273,0.000237,0.000188,0.000264,0.000228,0.000189,0.000265,0.000218,0.000179,0.000255,0.000219,0.000180,0.000246,0.000209,0.000171,0.000247,0.000059,0.000099,0.000050,0.000058,0.000162,0.000189,0.000115,0.000163,0.000000,,0.358000,0.000000,,,,,,,0.000000,,,0.003942,0.006443,,,0.014965,0.009197,0.000000, ,0.005540,,,,0.000000,,,,,0.000000,,,,0.000000,,,,,,,
9, ,0.007900,0.000121,0.000325,0.000134,0.000362,0.000248,0.000193,0.000482,,0.000410,0.000390,0.000108,0.000136,0.000324,0.000368,  0.0001100 ,  0.0001600 ,  0.0000900 ,  0.0001200 ,0.0014200,0.00212,0.0012100,0.0011099,0.0011100,0.0012100,0.0012100,0.000300,0.000370,0.000740,,0.000134,0.000389,0.000097,0.000108,0.000324,0.000292,0.000130,0.000194,,, ,,,,,,,0.003880,0.003880,0.000140,0.000175,0.000209,,,,0.000140,0.000209,,,0.000143,0.000098,,,,,0.000060,0.000040,0.000137,0.000072,0.000273,0.000261,0.000251,0.000248,0.000248,0.000208,0.000283,0.000255,0.000216,0.000281,0.000239,0.000200,0.000276,0.000231,0.000190,0.000267,0.000231,0.000182,0.000258,0.000222,0.000183,0.000259,0.000213,0.000173,0.000249,0.000215,0.000174,0.000241,0.000205,0.000165,0.000241,0.000063,0.000105,0.000053,0.000062,0.000168,0.000196,0.000127,0.000166,0.000000,,0.345000,0.000000,,,,,,,0.000000,,,0.003963,0.006462,,,0.014995,0.009212,0.000000, ,0.005390,,,,0.000000,,,,,0.000000,,,,0.000000,,,,,,,
