TÁBUA,ALLG-72,AMERICAN EXPERIENCE,AT2000 (Suavizada 10%)_FEM,AT2000 (Suavizada 10%)_MAS,AT-2000 FEMALE,AT-2000 MALE,AT-2000 MEDIA,AT-49 FEMALE,AT-49 MALE,AT-50,AT-55,AT-71,AT-83 FEMALE (Basic),AT-83 FEMALE (IAM),AT-83 MALE (Basic),AT-83 MALE (IAM),BR-EMSmt-v.2010-f,BR-EMSmt-v.2010-m,BR-EMSsb-v.2010-f,BR-EMSsb-v.2010-m,CSG-60,CSO-41,CSO-58,CSO58 - FEM - AGE LAST,CSO58 - FEM - AGE NEAREST,CSO58 - MAS - AGE LAST,CSO58 - MAS - AGE NEAREST,CSO58 FEMALE,CSO58 MALE,CSO80,EB7-75,GAM-71 FEMALE,GAM-71 MALE,GAM-83 - FEMALE,GAM83_BÁSICA - FEMALE,GAM83_BÁSICA - MASC,GAM-83 - MASC,GAM-94 FEMALE,GAM-94MALE,GKF-95,GKM-70,GKM-80,GKM-95,GR-95 MALE,GR-95FEMALE,GRUPAL AMERICANA,HUNTER SEMITROPICAL,Prudential-50,RENTIERS FRANCAIS,Rentiers Français,RP-2000 FEMALE,RP-2000 MEDIA,RP-2000MALE,SGB-51,SGB-71,SGB-75,UP-94 FEMALE,UP-94 MALE,USTP-61,X-17,2012 IAM Basic Table – Male. ANB,2012 IAM Basic Table – Female. ANB,Tabla de Mortalidad RV-2004 – Hombres,Tabla de Mortalidad RV-2004 – Mujeres,CPM2014 Private – Male,CPM2014 Private – Female,2007 Standard Mortality Table for Post Annuitization - Male,2007 Standard Mortality Table for Post Annuitization - Female,CL5 (2010-2013),CL6 (2010-2013),IBGE 2006  Ambos os Sexos,IBGE 2007  Ambos os Sexos,IBGE 2008  Ambos os Sexos,IBGE 2009  Ambos os Sexos,IBGE 2012  Ambos os Sexos,IBGE 2012  Mulheres,IBGE 2012  Homens,IBGE 2013  Ambos os Sexos,IBGE 2013  Mulheres,IBGE 2013  Homens,IBGE 2014  Ambos os Sexos,IBGE 2014  Mulheres,IBGE 2014  Homens,IBGE 2015  Ambos os Sexos,IBGE 2015 Mulheres,IBGE 2015  Homens,IBGE 2016  Ambos os Sexos,IBGE 2016 Mulheres,IBGE 2016  Homens,IBGE 2017  Ambos os Sexos,IBGE 2017 Mulheres,IBGE 2017  Homens,IBGE 2018  Ambos os Sexos,IBGE 2018 Mulheres,IBGE 2018  Homens,IBGE 2019  Ambos os Sexos,IBGE 2019 Mulheres,IBGE 2019  Homens,IBGE 2020  Ambos os Sexos,IBGE 2020 Mulheres,IBGE 2020  Homens,BR-EMSmt-v.2015-f,BR-EMSmt-v.2015-m,BR-EMSsb-v.2015-f,BR-EMSsb-v.2015-m,BR-EMSmt-v.2021-f,BR-EMSmt-v.2021-m,BR-EMSsb-v.2021-f,BR-EMSsb-v.2021-m,BENTZIEN,Experiência CAP,GRUPAL AMERICANA,IAPC,IBA (FERROVIARIOS),MULLER,RP-2000 DISABLED FEMALE,RP-2000 DISABLED MALE,RRB-44,TASA/1927,WINKLEVOSS,ZIMMERMANN,ZIMMERMANN (FERR. ALEMAES),MI-2006 Masculino,MI-2006 Feminino,Pri-2012 Male Disabled Retiree,Pri-2012 Female Disabled Retiree,MI-85 Masculino,MI-85 Feminino,ALVARO VINDAS,GRUPO AMERICANA,HUNTER'S,IAPB-57 Forte,IAPB-57 FRACA,IBA (FERROVIARIOS),LIGHT FORTE,LIGHT MEDIA,LIGHT FRACA,MULLER,PRUDENTIAL (FERR. APOSENT.),RGPS-99/02 M.M,RRB-1944 Mod - Fem,RRB-1944 Mod - Masc,TASA-1927,WYATT 1985 ,ZIMMERMANN EMPR. ESCRIT,Atuários Ingleses,Hubbard Laffitte,J.P. Jansen,Kinkelin,Moser,Samuel Dumas
0, ,0.1547,0.001615,0.00208,0.001794,0.002311,0.002053,0.00321,0.00404,, , ,,0.001835,,0.00269,0.00128,0.00274,0.00038,0.002,0.00832,0.02258,0.00708,0.0039421,0.0062,0.0044295,0.00708,0.00548,0.00633,0.00418,,0.002219,0.003255,,,,,,,,, ,,,,,,,0.03602,0.03602,,,,,,,,,,,0.001783,0.001801,,,,,0.00058,0.00047,0.000566,0.000453,0.024890523790897,0.024035812168035,0.023295182985052,0.022467290718881,0.015694401835175,0.01428252,0.017032293121968,0.015022952151381,0.013697323941274,0.016275141919839,0.014399491356086,0.013160389339368,0.015575387523095,0.01382416512063,0.012652295184576,0.014933226423462,0.013297,0.012183,0.014349,0.012807916760314,0.011752286160826,0.013802894001717,0.01235826059375,0.011350749921494,0.013305250890477,0.011937616950365,0.010978347457597,0.012846263994316,0.01155584008633,0.010635134005489,0.012426023222106,0.0004151,0.0003911,0.0003438,0.0003372,0.0003545253,0.0003707975,0.0002926024,0.000352673,0.00,,0.462,0.00,,,,,,,0.00,,,0.00377159,0.00631489,,,0.014786174,0.009111851,0.00, ,0.0071,,,,0.00,,,,,0.00,,,,0.00,,,,,,,
1, ,0.06349,0.00068,0.000815,0.000755,0.000906,0.000831,0.00136,0.00158,, , ,,0.000778,,0.001053,0.00046,0.00095,0.00038,0.00069,0.00207,0.00577,0.00176,0.0015401,0.00167,0.00164,0.00176,0.00094,0.001,0.00107,,0.00094,0.001274,,,,,0.000531,0.000592,,, ,,,,,,,0.02749,0.02749,0.000571,0.000604,0.000637,,,,0.000571,0.000637,,,0.000446,0.00045,,,,,0.00026,0.00022,0.000386,0.000289,0.002292050333352,0.002182457129633,0.002291215774296,0.002151677587739,0.000983015356249,0.00088032,0.001076491551717,0.015022952151381,0.013697323941274,0.016275141919839,0.000930110649164,0.000828085193886,0.001001822728084,0.00090155201875,0.00082126119448,0.000972260541483,0.000878,0.000792,0.000965,0.000848353622617,0.000769068696133,0.000919764767733,0.000841265948112,0.000762191573225,0.00091236109017,0.000796174041318,0.000715517167635,0.000883489095999,0.000789083199516,0.000709822580719,0.000860536127941,0.0001843,0.0002025,0.0001527,0.0001568,0.0002256076,0.000242085,0.0001921118,0.0002263863,0.00,,0.449,0.00,,,,,,,0.00,,,0.00379287,0.00632904,,,0.014803387,0.009119898,0.00, ,0.00687,,,,0.00,,,,,0.00,,,,0.00,,,,,,,
2, ,0.0355,0.000353,0.000454,0.000392,0.000504,0.000448,0.000703,0.000887,, , ,,0.000402,,0.000591,0.00025,0.00048,0.0002,0.00035,0.00179,0.00414,0.00152,0.0013801,0.00141,0.0014901,0.00152,0.00067,0.00075,0.00099,,0.000486,0.000715,,,,,0.000346,0.0004,,, ,,,,,,,0.02085,0.02085,0.000372,0.000401,0.00043,,,,0.000372,0.00043,,,0.000306,0.000287,,,,,0.0002,0.00015,0.000268,0.000184,0.001254954281833,0.001198061875808,0.001187885234586,0.00113241634612,0.000629077558766,0.00055784,0.000701964544204,0.000937037296616,0.000834110682652,0.001047126343297,0.000598935337641,0.000527646671354,0.000661912879676,0.000578406727123,0.000516838441975,0.000641454151148,0.000569,0.000496,0.000631,0.000548293420846,0.000486631861599,0.00061117979139,0.00053758830325,0.000475833299979,0.000600557274867,0.000518086743278,0.000456564576944,0.000580085517845,0.000507371542572,0.000445727411355,0.000570273752424,0.0001048,0.000135,0.0001159,0.0000941,0.0001953352,0.0002129199,0.0001545556,0.0001963496,0.00,,0.436,0.00,,,,,,,0.00,,,0.00381414,0.00634389,,,0.014821856,0.009128578,0.00, ,0.00665,,,,0.00,,,,,0.00,,,,0.00,,,,,,,
3, ,0.02391,0.000261,0.000367,0.00029,0.000408,0.000349,0.000521,0.000715,, , ,,0.000298,,0.000476,0.00016,0.0003,0.00013,0.00022,0.00172,0.00338,0.00146,0.00132,0.00135,0.00143,0.00146,0.0006,0.00068,0.00098,,0.00036,0.000576,,,,,0.000258,0.000332,,, ,,,,,,,0.01575,0.01575,0.000278,0.000318,0.000357,,,,0.000278,0.000357,,,0.000254,0.000199,,,,,0.00014,0.0001,0.000196,0.000124,0.000921733707427,0.00088019256505,0.000778368894121,0.000750043374476,0.000476626382606,0.00041962,0.000537413415773,0.000609674414822,0.000538445973749,0.000681506934704,0.00045570712284,0.000398426657625,0.000511168029384,0.00043907816293,0.000387160094553,0.000494944333778,0.000435,0.000371,0.000484,0.000418306474341,0.000365947345851,0.000473857028609,0.000407134956496,0.000354693972324,0.000462822868698,0.000397085601067,0.000345277105956,0.000446318204562,0.00038591966787,0.000333541216861,0.000441466147737,0.0000732,0.0001068,0.0000791,0.0000688,0.00018014,0.0001991131,0.0001342011,0.0001813874,0.00,,0.423,0.00,,,,,,,0.00,,,0.00383541,0.00635876,,,0.014841672,0.009137941,0.00, ,0.00644,,,,0.00,,,,,0.00,,,,0.00,,,,,,,
4, ,0.0177,0.000209,0.000321,0.000232,0.000357,0.000295,0.000419,0.000627,, , ,,0.00024,,0.000417,0.00012,0.00022,0.0001,0.00016,0.00165,0.00299,0.0014,0.001265,0.00129,0.0013749,0.0014,0.00053,0.00061,0.00095,,0.00029,0.000505,,,,,0.000194,0.000259,,, ,,,,,,,0.01187,0.01187,0.000208,0.000243,0.000278,,,,0.000208,0.000278,,,0.000193,0.000152,,,,,0.00011,0.00007,0.000158,0.000095,0.000699397580282,0.00065864350514,0.000567656924338,0.000551681341883,0.000389640831774,0.00034093,0.000442300226693,0.000466938149773,0.000410026868335,0.000521114254223,0.000373765201602,0.000324688162952,0.000423500282969,0.000359576236795,0.000313634700916,0.000409829340377,0.000358,0.0003,0.000399,0.000343878976031,0.000297372353386,0.000393817499082,0.000332878519944,0.000286331162595,0.000382936815931,0.000327614114393,0.000281766289092,0.00036887448055,0.000316624349951,0.000270083725858,0.00036654505536,0.00006,0.0000948,0.0000576,0.0000582,0.0001711131,0.0001916189,0.0001214338,0.000172686,0.00,,0.41,0.00,,,,,,,0.00,,,0.00385668,0.00637435,,,0.014862934,0.009148039,0.00, ,0.00624,,,,0.00,,,,,0.00,,,,0.00,,,,,,,
5, ,0.0136,0.000171,0.000291,0.000189,0.000324,0.000257,0.000339,0.000566,,0.00037,0.00046,0.00019,0.000194,0.00038,0.000377,0.0001,0.00018,0.00008,0.00013,0.00159,0.00276,0.00135,0.001215,0.00124,0.001325,0.00135,0.00047,0.00055,0.0009,,0.000234,0.000456,0.000171,0.00019,0.00038,0.000342,0.000175,0.000237,,, ,,,,,,,0.00897,0.00897,0.000188,0.000222,0.000255,,,,0.000188,0.000255,,,0.000186,0.000139,,,,,0.00009,0.00006,0.000141,0.000084,0.000479327974895,0.00046862404267,0.000441647243653,0.000432223507352,0.000333543409071,0.0002901,0.00038026297255,0.00038482452973,0.00033622319394,0.00042853142704,0.000320814858069,0.000276989853787,0.000366068143292,0.000308362496144,0.000266309370114,0.000354132142643,0.000308,0.000254,0.000344,0.000295793952931,0.000253174031257,0.000341309532454,0.000285130499368,0.00024250273023,0.000330729220402,0.000282664137377,0.000240667771613,0.00031838055275,0.000272010591765,0.000229355197348,0.000317501952621,0.0000551,0.0000906,0.0000494,0.0000543,0.0001654968,0.0001876699,0.0001131862,0.0001673759,0.00,,0.397,0.00,,,,,,,0.00,,,0.00387795,0.00639065,,,0.014885746,0.00915893,0.00, ,0.00605,,,,0.00,,,,,0.00,,,,0.00,,,,,,,
6, ,0.01137,0.000141,0.00027,0.000156,0.000301,0.000229,0.000278,0.000526,,0.00038,0.00042,0.000156,0.00016,0.000353,0.00035,0.00009,0.00016,0.00007,0.00012,0.00153,0.00261,0.0013,0.00117,0.00119,0.0012801,0.0013,0.00041,0.00049,0.00086,,0.000193,0.000424,0.00014,0.000156,0.000353,0.000318,0.000163,0.000227,,, ,,,,,,,0.00687,0.00687,0.000176,0.00021,0.000244,,,,0.000176,0.000244,,,0.000184,0.00013,,,,,0.00009,0.00006,0.000132,0.000078,0.000385499831761,0.000372131348774,0.000360110200817,0.000354399349896,0.000295394826727,0.00025527,0.000337588610724,0.000331526042761,0.000288179897216,0.000368236587012,0.000284739018844,0.000244275256759,0.000326435795067,0.000273643029607,0.000233984812842,0.000315757378871,0.000274,0.000223,0.000305,0.000263093306462,0.000222975702451,0.000305050652821,0.000252796645136,0.000212689023414,0.000294796530379,0.00025209494301,0.000212453795243,0.000283764944193,0.000241804525871,0.000201659022695,0.000283739557487,0.0000543,0.0000909,0.0000471,0.0000539,0.0001621639,0.0001861928,0.0001087677,0.0001641625,0.00,,0.384,0.00,,,,,,,0.00,,,0.00389923,0.00640767,,,0.014910222,0.009170678,0.00, ,0.00587,,,,0.00,,,,,0.00,,,,0.00,,,,,,,
7, ,0.00975,0.000118,0.000257,0.000131,0.000286,0.000209,0.000234,0.0005,,0.00039,0.0004,0.000131,0.000134,0.000336,0.000333,0.00009,0.00015,0.00007,0.00011,0.00148,0.00247,0.00126,0.001135,0.00115,0.001245,0.00126,0.00036,0.00044,0.0008,,0.000162,0.000403,0.000118,0.000131,0.000336,0.000302,0.000153,0.000217,,, ,,,,,,,0.0054,0.0054,0.000165,0.0002,0.000234,,,,0.000165,0.000234,,,0.000177,0.000122,,,,,0.00007,0.00005,0.000129,0.000074,0.00031393789039,0.000300602044302,0.000305742912505,0.000302080330832,0.000269564259698,0.00023117,0.000308343692367,0.000295064536653,0.000254994060855,0.000326848624419,0.00026024030263,0.000221665329571,0.000299209254719,0.000250302754921,0.000211730029646,0.000289468720841,0.000251,0.000202,0.00028,0.000241000874879,0.000202213224017,0.000280139318038,0.000231049694586,0.000192274205177,0.000270191510395,0.000231494429163,0.000192904980994,0.000260263634351,0.000221544497035,0.00018274525791,0.000260672007941,0.0000558,0.0000938,0.0000475,0.0000555,0.0001608317,0.0001866695,0.0001089789,0.0001629112,0.00,,0.371,0.00,,,,,,,0.00,,,0.0039205,0.00642471,,,0.014936484,0.009183348,0.00, ,0.0057,,,,0.00,,,,,0.00,,,,0.00,,,,,,,
8, ,0.00863,0.000118,0.000294,0.000131,0.000328,0.00023,0.000207,0.000487,,0.0004,0.00039,0.000116,0.000134,0.000327,0.000352,0.00009,0.00015,0.00008,0.00011,0.00145,0.00231,0.00123,0.0011151,0.00112,0.0012199,0.00123,0.00032,0.0004,0.00076,,0.000143,0.000392,0.000104,0.000116,0.000327,0.000294,0.000137,0.000201,,, ,,,,,,,0.00443,0.00443,0.000147,0.000182,0.000216,,,,0.000147,0.000216,,,0.000159,0.000105,,,,,0.00006,0.00004,0.000131,0.000072,0.000281258331303,0.00026881279849,0.000270577111363,0.00026776108704,0.000253730528536,0.00021553,0.000290232845636,0.000270194268131,0.00023181218332,0.000298588594853,0.00024509947094,0.000207039961447,0.000282297339267,0.000236258681994,0.000197398243936,0.000273248125589,0.000237,0.000188,0.000264,0.000227540019124,0.000188911995201,0.000264663670279,0.000217885946289,0.000179258203953,0.000254978108928,0.000219056354231,0.000180158061997,0.000246075944726,0.000209398102699,0.000170785548252,0.0002465327278,0.0000588,0.0000987,0.0000496,0.0000584,0.0001621559,0.000189483,0.0001148906,0.0001633819,0.00,,0.358,0.00,,,,,,,0.00,,,0.00394177,0.00644318,,,0.01496466,0.009197014,0.00, ,0.00554,,,,0.00,,,,,0.00,,,,0.00,,,,,,,
9, ,0.0079,0.000121,0.000325,0.000134,0.000362,0.000248,0.000193,0.000482,,0.00041,0.00039,0.000108,0.000136,0.000324,0.000368,0.00011,0.00016,0.00009,0.00012,0.00142,0.00212,0.00121,0.0011099,0.00111,0.00121,0.00121,0.0003,0.00037,0.00074,,0.000134,0.000389,0.000097,0.000108,0.000324,0.000292,0.00013,0.000194,,, ,,,,,,,0.00388,0.00388,0.00014,0.000175,0.000209,,,,0.00014,0.000209,,,0.000143,0.000098,,,,,0.00006,0.00004,0.000137,0.000072,0.000273112096763,0.00026061452413,0.000251446369484,0.000248353543468,0.000247569141582,0.00020778,0.000283313232209,0.000254723725412,0.000216476982185,0.000281232041281,0.00023893251306,0.000199896033057,0.000275742020028,0.000231263129651,0.000190463512343,0.000267158080868,0.000231,0.000182,0.000258,0.000222412448811,0.000182611684162,0.000258630259971,0.000212983066027,0.000173160241037,0.000249141664056,0.000214547252127,0.000173707978858,0.000241325001601,0.000205108575536,0.000165363349401,0.000241369670329,0.0000627,0.0001052,0.0000526,0.0000624,0.0001676263,0.0001961013,0.0001271234,0.0001663195,0.00,,0.345,0.00,,,,,,,0.00,,,0.00396304,0.00646237,,,0.014994892,0.009211755,0.00, ,0.00539,,,,0.00,,,,,0.00,,,,0.00,,,,,,,
